Country Name,Country Code,Series Name,Series Code,2015
Brazil,BRA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,377.0695
Brazil,BRA,PISA: Mean performance on the science scale,LO.PISA.SCI,400.6821
Brazil,BRA,PISA: Mean performance on the reading scale,LO.PISA.REA,407.3486
Greece,GRC,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,453.6299
Greece,GRC,PISA: Mean performance on the science scale,LO.PISA.SCI,454.8288
Greece,GRC,PISA: Mean performance on the reading scale,LO.PISA.REA,467.0395
United States,USA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,469.6285
Italy,ITA,PISA: Mean performance on the science scale,LO.PISA.SCI,480.5468
Italy,ITA,PISA: Mean performance on the reading scale,LO.PISA.REA,484.758
Spain,ESP,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,485.8432
Russian Federation,RUS,PISA: Mean performance on the science scale,LO.PISA.SCI,486.631
Italy,ITA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,489.7287
Portugal,PRT,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,491.627
Switzerland,CHE,PISA: Mean performance on the reading scale,LO.PISA.REA,492.1982
United Kingdom,GBR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,492.4785
Spain,ESP,PISA: Mean performance on the science scale,LO.PISA.SCI,492.7861
France,FRA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,492.9204
Sweden,SWE,PISA: Mean performance on the science scale,LO.PISA.SCI,493.4224
Australia,AUS,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,493.8962
Sweden,SWE,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,493.9181
Russian Federation,RUS,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,494.06
Russian Federation,RUS,PISA: Mean performance on the reading scale,LO.PISA.REA,494.6278
France,FRA,PISA: Mean performance on the science scale,LO.PISA.SCI,494.9776
New Zealand,NZL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,495.2233
Spain,ESP,PISA: Mean performance on the reading scale,LO.PISA.REA,495.5764
United States,USA,PISA: Mean performance on the science scale,LO.PISA.SCI,496.2424
United States,USA,PISA: Mean performance on the reading scale,LO.PISA.REA,496.9351
United Kingdom,GBR,PISA: Mean performance on the reading scale,LO.PISA.REA,497.9719
Portugal,PRT,PISA: Mean performance on the reading scale,LO.PISA.REA,498.1289
Norway,NOR,PISA: Mean performance on the science scale,LO.PISA.SCI,498.4811
Belgium,BEL,PISA: Mean performance on the reading scale,LO.PISA.REA,498.5242
France,FRA,PISA: Mean performance on the reading scale,LO.PISA.REA,499.3061
Denmark,DNK,PISA: Mean performance on the reading scale,LO.PISA.REA,499.8146
Sweden,SWE,PISA: Mean performance on the reading scale,LO.PISA.REA,500.1556
Portugal,PRT,PISA: Mean performance on the science scale,LO.PISA.SCI,501.1001
Norway,NOR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,501.7298
Denmark,DNK,PISA: Mean performance on the science scale,LO.PISA.SCI,501.9369
Belgium,BEL,PISA: Mean performance on the science scale,LO.PISA.SCI,501.9997
Ireland,IRL,PISA: Mean performance on the science scale,LO.PISA.SCI,502.5751
Australia,AUS,PISA: Mean performance on the reading scale,LO.PISA.REA,502.9006
Netherlands,NLD,PISA: Mean performance on the reading scale,LO.PISA.REA,502.9591
Ireland,IRL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,503.722
Switzerland,CHE,PISA: Mean performance on the science scale,LO.PISA.SCI,505.5058
Germany,DEU,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,505.9713
Belgium,BEL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,506.9844
Netherlands,NLD,PISA: Mean performance on the science scale,LO.PISA.SCI,508.5748
Germany,DEU,PISA: Mean performance on the reading scale,LO.PISA.REA,509.1041
Germany,DEU,PISA: Mean performance on the science scale,LO.PISA.SCI,509.1406
United Kingdom,GBR,PISA: Mean performance on the science scale,LO.PISA.SCI,509.2215
New Zealand,NZL,PISA: Mean performance on the reading scale,LO.PISA.REA,509.2707
Australia,AUS,PISA: Mean performance on the science scale,LO.PISA.SCI,509.9939
Finland,FIN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,511.0769
Denmark,DNK,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,511.0876
Netherlands,NLD,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,512.2528
Norway,NOR,PISA: Mean performance on the reading scale,LO.PISA.REA,513.1912
New Zealand,NZL,PISA: Mean performance on the science scale,LO.PISA.SCI,513.3035
Canada,CAN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,515.6474
Japan,JPN,PISA: Mean performance on the reading scale,LO.PISA.REA,515.9585
Estonia,EST,PISA: Mean performance on the reading scale,LO.PISA.REA,519.1429
Estonia,EST,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,519.5291
Ireland,IRL,PISA: Mean performance on the reading scale,LO.PISA.REA,520.8148
Switzerland,CHE,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,521.2506
Finland,FIN,PISA: Mean performance on the reading scale,LO.PISA.REA,526.4247
Canada,CAN,PISA: Mean performance on the reading scale,LO.PISA.REA,526.6678
Canada,CAN,PISA: Mean performance on the science scale,LO.PISA.SCI,527.7047
Finland,FIN,PISA: Mean performance on the science scale,LO.PISA.SCI,530.6612
Japan,JPN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,532.4399
Estonia,EST,PISA: Mean performance on the science scale,LO.PISA.SCI,534.1937
Japan,JPN,PISA: Mean performance on the science scale,LO.PISA.SCI,538.3948
